"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"this" 0.316957210776545 0.40759191403516 0.393275755706354 0.220689970612786 0.189240007278462 0.264567638311646 0.254991413554442 0.203513881887265 0.371742293954227
"an" 0.186652579679521 0.185269051834164 0.219771745835904 0.233268155466365 0.247467701825681 0.234545778645076 0.343457822338636 0.324875371086092 0.305595978304008
"or" 0.183130832893115 0.139981061385813 0.188926588525601 0.200107486306931 0.235336932128344 0.209214834551408 0.284480216482506 0.433167161448123 0.381002778145257
"don" 0.246522275048424 0.168800691671127 0.254472547809994 0.153225160943593 0.212288469703403 0.357447766655096 0.230706517025447 0.351014768759686 0.251355999470829
"them" 0.137348124669836 0.144098151426572 0.150370141887724 0.298446022434908 0.331170012737308 0.178254791770258 0.248052871689015 0.274463675572733 0.255324778409843
"wolfe" 0 0 0 0 0 0 0.718139083071692 0.610541645661794 0.759359703664506
"then" 0.478957562951224 0.337601383342254 0.381708821714991 0.200107486306931 0.196518469096864 0.260814905853324 0.216829433294593 0.184842883548983 0.181240904881598
"like" 0.235957034689206 0.160566511589608 0.219771745835904 0.1806684733514 0.258385394553284 0.395913274352888 0.209890891429166 0.136298287869452 0.185209683820611
"your" 0.186652579679521 0.177034871752645 0.304595928439235 0.149794746892617 0.183174622429793 0.248618525363781 0.291418758347933 0.278197875240389 0.273845746791904
"by" 0.193696073252333 0.30466466301618 0.169648365206663 0.235555098167015 0.197731546066598 0.205462102093087 0.261929955419869 0.212849381056405 0.275168673104908
"mr" 0.0528262017960909 0.502284984972621 0.555212831585441 0.0914777080260254 0.0909807727300297 0.108829241291315 0.305295842078787 0.436901361115779 0.342637915068131
"did" 0.281739742912485 0.284079212812384 0.33158544108575 0.201250957657256 0.177109237581125 0.170749326853615 0.272337768218009 0.270729475905077 0.228866252149755
"didn" 0.228913541116394 0.0988101609782206 0.177359654534238 0.138360033389363 0.265663856371687 0.190451172259802 0.308765113011501 0.31740697175078 0.228866252149755
"can" 0.162000352174679 0.185269051834164 0.17350400987045 0.166946817147496 0.220780008491539 0.288960399290734 0.192544536765599 0.244590078231483 0.179917978568594
"went" 0.285261489698891 0.263493762608588 0.235194324491055 0.235555098167015 0.185600776369261 0.158552946364071 0.268868497285295 0.231520379394686 0.148167747056489
"back" 0.119739390737806 0.15233233150809 0.204349167180753 0.292728665683281 0.285073087887426 0.141665650301626 0.209890891429166 0.147500886872421 0.158751157560524
"very" 0.426131361155133 0.317015933138458 0.586057988895743 0.132642676637737 0.156486929095651 0.363076865342578 0.0572429703897726 0.0541458951810153 0.0489482735811615
"got" 0.158478605388273 0.160566511589608 0.200493522516965 0.129212262586761 0.129799235761509 0.198894820291024 0.310499748477857 0.259526876902108 0.256647704722847
"who" 0.352174678640606 0.345835563423772 0.227483035163479 0.192103186854653 0.132225389700977 0.166996594395294 0.182136723967458 0.205380981721093 0.214314062706707
"m" 0.235957034689206 0.156449421548849 0.142658852560148 0.102912421529279 0.0994723115181658 0.296465864207376 0.152647921039394 0.345413469258201 0.210345283767694
"down" 0.15143511181546 0.189386141874923 0.192782233189389 0.213829142510834 0.274155395159823 0.173563876197356 0.199483078631026 0.121361489198827 0.177272125942585
"could" 0.154956858601867 0.164683601630368 0.131091918568785 0.26871576732645 0.237763086067811 0.189512989145221 0.121424482644972 0.169906084878358 0.153459452308506
"see" 0.299348476844515 0.267610852649347 0.215916101172116 0.166946817147496 0.186813853338994 0.218596665697211 0.15438255650575 0.164304785376874 0.13626141023945
"are" 0.144391618242648 0.226439952241756 0.223627390499692 0.114347135032532 0.174683083641657 0.21578211635347 0.183871359433815 0.212849381056405 0.21828284164572
"think" 0.320478957562951 0.222322862200996 0.254472547809994 0.130355733937086 0.168617698792988 0.287084033061573 0.0849971378514805 0.12882988853414 0.108479957666358
"into" 0.147913365029054 0.164683601630368 0.10410240592227 0.383062902358981 0.279007703038758 0.136974734728724 0.133566930909469 0.0280064975074217 0.0740838735282445
"ll" 0.130304631097024 0.086458890855943 0.0809685379395435 0.189816244154003 0.209862315763935 0.163243861936973 0.225502610626377 0.201646782053436 0.173303347003572
"miss" 1.47913365029054 0.2017374119972 0.17350400987045 0.0160085989045544 0.0303269242433432 0.0290836765519894 0.272337768218009 0.196045482551952 0.148167747056489
"vernon" 0 0 0 0 0 0.887521226392967 0 0 0
"yes" 0.295826730058109 0.15233233150809 0.277606415792721 0.125781848535785 0.171043852732456 0.224225764384693 0.109282034380475 0.181108683881327 0.0992194734753274
